Date,Time,Day of Week,Month,Time of Day,Wait Time,Is_Holiday,Is_Holiday_Adjacency,Temperature,Precipitation
12/08/14,20:30:00,Monday,12,1230,18.0,False,False,,
12/08/14,21:00:00,Monday,12,1260,18.0,False,False,17.0,0.0
12/08/14,21:30:00,Monday,12,1290,36.0,False,False,,
12/08/14,22:00:00,Monday,12,1320,23.0,False,False,14.9,0.0
12/09/14,08:30:00,Tuesday,12,510,8.0,False,False,,
12/09/14,09:00:00,Tuesday,12,540,9.0,False,False,11.9,0.0
12/09/14,09:30:00,Tuesday,12,570,6.0,False,False,,
12/09/14,10:00:00,Tuesday,12,600,9.0,False,False,16.1,0.0
12/09/14,10:30:00,Tuesday,12,630,9.0,False,False,,
12/09/14,11:00:00,Tuesday,12,660,17.0,False,False,18.8,0.0
12/09/14,11:30:00,Tuesday,12,690,17.0,False,False,,
12/09/14,12:00:00,Tuesday,12,720,5.0,False,False,20.7,0.0
12/09/14,12:30:00,Tuesday,12,750,17.0,False,False,,
12/09/14,13:00:00,Tuesday,12,780,19.0,False,False,21.7,0.0
12/09/14,13:30:00,Tuesday,12,810,14.0,False,False,,
