hidden_layers,activation,learning_rate,alpha,batch_size,dev_rmse,n_iter
"(64,)",relu,0.001,0.1,32,16.674288729981342,63
"(64,)",relu,0.001,0.1,64,16.62090407598836,61
"(64,)",relu,0.001,0.1,128,16.666809259391716,104
"(64,)",relu,0.005,0.0001,32,16.603783247322756,38
"(64,)",relu,0.005,0.0001,64,16.31669059001461,25
"(64,)",relu,0.005,0.0001,128,16.633527386998523,38
"(64,)",relu,0.005,0.001,32,16.658697418074972,38
"(64,)",relu,0.005,0.001,64,16.358483935528373,25
"(64,)",relu,0.005,0.001,128,16.635990404853256,41
"(64,)",relu,0.005,0.01,32,16.681943041906408,38
"(64,)",relu,0.005,0.01,64,16.35506897265402,25
"(64,)",relu,0.005,0.01,128,16.59726199311243,41
"(64,)",relu,0.005,0.1,32,16.565805263982668,38
"(64,)",relu,0.005,0.1,64,16.660375575246018,50
"(64,)",relu,0.005,0.1,128,16.401602310730233,38
"(64,)",relu,0.01,0.0001,32,16.976016983493434,29
"(64,)",relu,0.01,0.0001,64,16.50074284244794,43
"(64,)",relu,0.01,0.0001,128,16.553618289079544,23
"(64,)",relu,0.01,0.001,32,16.920367684093065,31
"(64,)",relu,0.01,0.001,64,16.34356791670049,43
"(64,)",relu,0.01,0.001,128,16.776391969566856,35
"(64,)",relu,0.01,0.01,32,16.274285856459322,28
"(64,)",relu,0.01,0.01,64,16.923362175817953,20
"(64,)",relu,0.01,0.01,128,16.710966061339015,35
"(64,)",relu,0.01,0.1,32,16.478890083249922,56
"(64,)",relu,0.01,0.1,64,16.91541974638165,20
"(64,)",relu,0.01,0.1,128,16.76323058489847,35
"(64,)",tanh,0.0001,0.0001,32,16.559307721450512,232
"(64,)",tanh,0.0001,0.0001,64,16.524425040799557,307
"(64,)",tanh,0.0001,0.0001,128,16.57607098689067,397
"(64,)",tanh,0.0001,0.001,32,16.5593223362677,232
"(64,)",tanh,0.0001,0.001,64,16.524415396345148,307
"(64,)",tanh,0.0001,0.001,128,16.576080207506163,397
"(64,)",tanh,0.0001,0.01,32,16.55945718460919,232
"(64,)",tanh,0.0001,0.01,64,16.524319940795486,307
"(64,)",tanh,0.0001,0.01,128,16.57616119466317,397
"(64,)",tanh,0.0001,0.1,32,16.559870265180766,232
"(64,)",tanh,0.0001,0.1,64,16.52343263478468,307
"(64,)",tanh,0.0001,0.1,128,16.577566320759384,397
"(64,)",tanh,0.0005,0.0001,32,16.285224151117575,71
"(64,)",tanh,0.0005,0.0001,64,16.45896890395206,79
"(64,)",tanh,0.0005,0.0001,128,16.519030677709875,146
"(64,)",tanh,0.0005,0.001,32,16.2852219979562,71
"(64,)",tanh,0.0005,0.001,64,16.458975996152542,79
"(64,)",tanh,0.0005,0.001,128,16.519020624992102,146
"(64,)",tanh,0.0005,0.01,32,16.285179290791397,71
"(64,)",tanh,0.0005,0.01,64,16.45905550269555,79
"(64,)",tanh,0.0005,0.01,128,16.51892379858639,146
"(64,)",tanh,0.0005,0.1,32,16.286155038082665,71
"(64,)",tanh,0.0005,0.1,64,16.4602274807884,79
"(64,)",tanh,0.0005,0.1,128,16.519127750964962,152
"(64,)",tanh,0.001,0.0001,32,16.58091632068499,50
"(64,)",tanh,0.001,0.0001,64,16.510111637097946,50
"(64,)",tanh,0.001,0.0001,128,16.502882153727615,79
"(64,)",tanh,0.001,0.001,32,16.58069571884209,50
"(64,)",tanh,0.001,0.001,64,16.510128310325072,50
"(64,)",tanh,0.001,0.001,128,16.502738929036088,79
"(64,)",tanh,0.001,0.01,32,16.578524508418575,50
"(64,)",tanh,0.001,0.01,64,16.510302464356304,50
"(64,)",tanh,0.001,0.01,128,16.50163130555399,79
"(64,)",tanh,0.001,0.1,32,16.563401156486748,50
"(64,)",tanh,0.001,0.1,64,16.511897942119198,50
"(64,)",tanh,0.001,0.1,128,16.484974396033106,79
"(64,)",tanh,0.005,0.0001,32,16.24145637212564,28
"(64,)",tanh,0.005,0.0001,64,16.29391486083466,25
"(64,)",tanh,0.005,0.0001,128,16.671188578605772,26
"(64,)",tanh,0.005,0.001,32,16.237523760693847,28
"(64,)",tanh,0.005,0.001,64,16.293832157985808,25
"(64,)",tanh,0.005,0.001,128,16.671111887367047,26
"(64,)",tanh,0.005,0.01,32,16.237209071613176,28
"(64,)",tanh,0.005,0.01,64,16.29247663113205,25
"(64,)",tanh,0.005,0.01,128,16.670373282972793,26
"(64,)",tanh,0.005,0.1,32,16.258324925054406,28
"(64,)",tanh,0.005,0.1,64,16.284550873454258,25
"(64,)",tanh,0.005,0.1,128,16.665580535466013,26
"(64,)",tanh,0.01,0.0001,32,16.387399358077154,25
"(64,)",tanh,0.01,0.0001,64,16.46469128460646,25
"(64,)",tanh,0.01,0.0001,128,16.36442796976728,25
"(64,)",tanh,0.01,0.001,32,16.455961917901693,25
"(64,)",tanh,0.01,0.001,64,16.458657681281316,25
"(64,)",tanh,0.01,0.001,128,16.365371965900678,25
"(64,)",tanh,0.01,0.01,32,16.829050699123286,20
"(64,)",tanh,0.01,0.01,64,16.647799523582087,26
"(64,)",tanh,0.01,0.01,128,16.365161845066297,25
"(64,)",tanh,0.01,0.1,32,16.24018460530722,26
"(64,)",tanh,0.01,0.1,64,16.5127635452172,25
"(64,)",tanh,0.01,0.1,128,16.77445745135495,26
"(128,)",relu,0.0001,0.0001,32,16.675375816804124,88
"(128,)",relu,0.0001,0.0001,64,16.663754249497615,111
"(128,)",relu,0.0001,0.0001,128,16.644019467326615,126
"(128,)",relu,0.0001,0.001,32,16.675408403602304,88
"(128,)",relu,0.0001,0.001,64,16.663695745477032,111
"(128,)",relu,0.0001,0.001,128,16.64399960231147,126
"(128,)",relu,0.0001,0.01,32,16.67553867854708,88
"(128,)",relu,0.0001,0.01,64,16.663205364370306,111
"(128,)",relu,0.0001,0.01,128,16.626924398183167,134
"(128,)",relu,0.0001,0.1,32,16.622469556902708,88
"(128,)",relu,0.0001,0.1,64,16.66356009749858,111
"(128,)",relu,0.0001,0.1,128,16.626576702831297,134
"(128,)",relu,0.0005,0.0001,32,16.846281166396793,40
"(128,)",relu,0.0005,0.0001,64,16.73135674929851,40
"(128,)",relu,0.0005,0.0001,128,16.72342241221279,58
"(128,)",relu,0.0005,0.001,32,16.8451358799238,40
"(128,)",relu,0.0005,0.001,64,16.72951858488251,40
